source	web_link
rahonisajjasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/rahonisajjasikkhāpadaṃ/rahonisajjasikkhāpadaṃ.html
āvasathapiṇḍasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/āvasathapiṇḍasikkhāpadaṃ/āvasathapiṇḍasikkhāpadaṃ.html
gaṇabhojanasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/gaṇabhojanasikkhāpadaṃ/gaṇabhojanasikkhāpadaṃ.html
paramparabhojanasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/paramparabhojanasikkhāpadaṃ/paramparabhojanasikkhāpadaṃ.html
kāṇamātusikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/kāṇamātusikkhāpadaṃ/kāṇamātusikkhāpadaṃ.html
paṭhamapavāraṇāsikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/paṭhamapavāraṇāsikkhāpadaṃ/paṭhamapavāraṇāsikkhāpadaṃ.html
dutiyapavāraṇāsikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/dutiyapavāraṇāsikkhāpadaṃ/dutiyapavāraṇāsikkhāpadaṃ.html
vikālabhojanasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/vikālabhojanasikkhāpadaṃ/vikālabhojanasikkhāpadaṃ.html
sannidhikārakasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/sannidhikārakasikkhāpadaṃ/sannidhikārakasikkhāpadaṃ.html
paṇītabhojanasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/paṇītabhojanasikkhāpadaṃ/paṇītabhojanasikkhāpadaṃ.html
dantaponasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/dantaponasikkhāpadaṃ/dantaponasikkhāpadaṃ.html
acelakasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/acelakasikkhāpadaṃ/acelakasikkhāpadaṃ.html
uyyojanasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/uyyojanasikkhāpadaṃ/uyyojanasikkhāpadaṃ.html
sabhojanasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/sabhojanasikkhāpadaṃ/sabhojanasikkhāpadaṃ.html
rahopaṭicchannasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/rahopaṭicchannasikkhāpadaṃ/rahopaṭicchannasikkhāpadaṃ.html
rahonisajjasikkhāpadaṃ 2	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/rahonisajjasikkhāpadaṃ 2/rahonisajjasikkhāpadaṃ 2.html
cārittasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/cārittasikkhāpadaṃ/cārittasikkhāpadaṃ.html
mahānāmasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/mahānāmasikkhāpadaṃ/mahānāmasikkhāpadaṃ.html
uyyuttasenāsikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/uyyuttasenāsikkhāpadaṃ/uyyuttasenāsikkhāpadaṃ.html
senāvāsasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/senāvāsasikkhāpadaṃ/senāvāsasikkhāpadaṃ.html
uyyodhikasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/uyyodhikasikkhāpadaṃ/uyyodhikasikkhāpadaṃ.html
surāpānasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/surāpānasikkhāpadaṃ/surāpānasikkhāpadaṃ.html
aṅgulipatodakasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/aṅgulipatodakasikkhāpadaṃ/aṅgulipatodakasikkhāpadaṃ.html
hasadhammasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/hasadhammasikkhāpadaṃ/hasadhammasikkhāpadaṃ.html
anādariyasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/anādariyasikkhāpadaṃ/anādariyasikkhāpadaṃ.html
bhiṃsāpanasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/bhiṃsāpanasikkhāpadaṃ/bhiṃsāpanasikkhāpadaṃ.html
jotisikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/jotisikkhāpadaṃ/jotisikkhāpadaṃ.html
nahānasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/nahānasikkhāpadaṃ/nahānasikkhāpadaṃ.html
dubbaṇṇakaraṇasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/dubbaṇṇakaraṇasikkhāpadaṃ/dubbaṇṇakaraṇasikkhāpadaṃ.html
vikappanasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/vikappanasikkhāpadaṃ/vikappanasikkhāpadaṃ.html
apanidhānasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/apanidhānasikkhāpadaṃ/apanidhānasikkhāpadaṃ.html
sañciccasikkhāpadaṃ	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/sañciccasikkhāpadaṃ/sañciccasikkhāpadaṃ.html
sappāṇakasikkhāpadaṃ 2	https://devamitta.github.io/patimokkha_dict/Bhikkhu_Patimokkha/sappāṇakasikkhāpadaṃ 2/sappāṇakasikkhāpadaṃ 2.html
